|                                   col0_1 |                                    col0_2 |         aperture_sum_3 |       aperture_sum_4 |       aperture_sum_5 |
|  3015.0104428079235 .. 397.8287822351471 |  279.1022499719219 .. -23.931877824737658 |     1.6107522446196798 |   -2.545011708289699 |   -4.155763952909378 |
|   2992.67333745327 .. 399.33746009315325 |  279.10251892651326 .. -23.93186121977911 |    -1.7718382497459646 |   -6.937193285026716 |   -5.165355035280751 |
|  3130.2209058328694 .. 399.2004214940214 |  279.1008627558175 .. -23.931862727455304 |     0.9170046647862897 |  -5.5183763150406095 |   -6.435380979826899 |
|  2824.6961474110453 .. 400.6298812074777 |   279.1045414912052 .. -23.93184697251754 |     -1.810384686614349 |    -6.74664269330433 |   -4.936258006689981 |
|  2842.967043713144 .. 402.35233504104747 | 279.10432149624694 .. -23.931828019794708 |     -2.702593219548943 |   -7.533176206568015 |   -4.830582987019072 |
|   3144.889818047123 .. 405.0407447229757 |   279.1006861321884 .. -23.93179845036697 |     1.5279703822021415 |   -5.445423901579538 |    -6.97339428378168 |
|    2754.98785365922 .. 405.7079854005834 |  279.1053808270387 .. -23.931791067668186 |     0.6642255220726179 |                  inf |                  inf |
| 2905.9199216746692 .. 406.13809100835357 |  279.10356349836815 .. -23.93178636626859 |    -1.6245857718282386 |   -6.598255271311588 |    -4.97366949948335 |
|   3062.8218367455756 .. 407.228704731514 |  279.1016742886646 .. -23.931774374226396 |    -3.1085367942438804 |  -7.9235619381520825 |   -4.815025143908202 |
| 2870.5971147624246 .. 407.95621996181814 | 279.10398880952533 .. -23.931766351145516 |     1.7138673963792614 |   -5.073687614397125 |   -6.787555010776386 |
|  3051.089412822046 .. 408.24141569247195 |   279.101815555303 .. -23.931763228776273 |    -0.7600092808122243 |   -6.176429068008003 |   -5.416419787195779 |
| 2784.6912052103894 .. 411.12407610516664 |  279.10502317621155 .. -23.93173146861149 |      -2.38299122531572 |  -7.1495808565342625 |   -4.766589631218542 |
